Time,P_HP,H_industry,H_HV_refuel,P_electrolysis_H2,Q_storage_charge,P_electrolysis_fuel,H_storage_discharge,D_EV,P_wind,Q_CHP,Q_storage,SOC_HV,P_EV_charge,F_ICV_refuel,Q_buildings_th,CO2_captured,SOC_EV,F_E2F,P_CHP,H_fuelcell,P_solar,P_fuelcell,F_industry,Cert_purchase,H_electrolysis,P_electrolysis,D_HV,P_buildings_elec,E_storage,H_storage,P_storage_charge,H_storage_charge,P_industry_elec,P_EV_V2G,Emissions_total,P_CCUS,SOC_ICV,Q_HP,P_storage_discharge,D_ICV,F_fuel,P_grid,Q_storage_discharge,F_CHP,Q_industry_th
11,14.581913140612809,51.931900941885004,9.40004241638556,102.22011240538252,5.263169726660551,45.44484324666757,2.462581487687331e-6,299.8556594668726,317.4665477649505,457.14284681487993,50.00000846149201,5089.890504636433,99.99998912508026,7.200959355805449,200.0,323.25767130757896,277.0294344178654,13.633452974000269,399.99999096301985,1.0350213853417983e-6,450.48443802426743,6.210128312050778e-7,108.73780916659945,0.0,61.33206744322951,147.66495565205008,50.320624309918756,239.99997666051024,50.000009589912004,50.50496385855699,1.0526364407186737,0.00012551251904465983,599.9999772607224,1.5512867640033743e-6,323.2576918859249,64.65153456441088,29906.172466995267,43.74573942183843,2.886293905791288e-6,249.82371622320863,323.2576915089299,1.0332742933138686e-6,9.547758401420964e-6,220.95237596052527,300.0
12,10.794036677685732,51.488867592392985,40.8053484865932,154.70087768060776,5.263169866981678,104.78853118954974,2.4097796219512966e-6,351.05684735260155,434.0288562493691,457.1428392250088,50.00000880539832,5084.194359759844,99.99999133247263,254.05881717507538,187.5,550.7838508124714,312.0582904696651,31.436559356864922,399.99998432188266,1.0287199037076857e-6,487.46396053015,6.172319422246109e-7,107.20930374334915,0.0,92.82052660836464,259.4894088701575,50.47821709351179,239.99998107521347,50.00001097859239,50.00003086467348,1.0526372288965982,0.5263119104381693,599.9999816753548,1.5057824493410504e-6,550.7839342777439,110.15677046728328,29763.479196617147,32.382110033057195,2.9038246840640114e-6,248.46493555388656,550.7839338536472,1.1988233127011494e-6,9.605609981171761e-6,220.95237229208755,300.0
13,2.460704805533859,52.74187916175297,38.96731514851732,153.72585273846468,5.263169938821822,100.41205326679899,2.4097796200483423e-6,393.8199679167592,443.3885914477271,457.14283445491134,50.00000918732269,5109.856243118384,99.99999191279099,534.9700752727193,175.0,788.6868806659812,336.8469110919022,30.123615980039695,399.99998014804737,1.0265725445296344e-6,500.00000456334266,6.159435267177808e-7,91.22108253733072,0.0,92.2355116430788,254.1379060052637,51.05152997990417,227.99998221583752,50.00001306981475,50.00002433433287,1.0526383601429965,0.5263187160155894,599.9999828359619,1.4907556526615775e-6,817.0199123060116,157.73737643864118,29868.45905245989,7.382114416601577,2.909896466042247e-6,255.12850210333661,817.0199118165509,1.3984591113149284e-6,9.625648739836404e-6,220.95236998654048,285.0
14,2.4607033616992178,53.1978392135292,39.13283466481519,154.76165202164316,5.26316992417988,102.4536425704682,2.4097795013241623e-6,358.5989144886612,410.4560196136843,457.1428392249604,50.00000957820932,5133.50809927293,99.99999133246808,262.93655185940077,175.0,545.9568943022147,353.0829081693066,30.73609277114046,399.9999843218403,1.0287199066930263e-6,487.46396053014996,6.172319440158146e-7,92.80414580609238,0.0,92.85699121298589,257.2152945921114,50.44539449550372,227.99998105522843,50.00001618750539,50.00002433459423,1.0526399471714631,0.5263187157010853,599.9999816753694,1.505782611340955e-6,545.9569777654406,109.19137916523194,30250.35202647061,7.382110085097653,2.9038247281960034e-6,240.95569101583501,545.9569771864168,1.6367662354498107e-6,9.605612110636416e-6,220.95237229206415,285.0
15,1.7031252901479133,45.480526933788,46.15016707068783,153.59501890909308,5.26316982000678,113.08668525010214,2.4097794207407478e-6,311.40200800864443,451.71309224995866,457.14284681475584,50.000009937188636,5157.507315589094,99.99998912510432,299.7096648329652,187.5,583.8005672681293,376.3631153643272,33.926005575030636,399.9999909629113,1.0350213692481452e-6,450.4844380242673,6.21012821548887e-7,97.06455192737302,0.0,92.15701134545586,266.6817041591952,50.39284737859165,215.99997662063228,50.000020756910565,50.00002433455431,1.0526420018498535,0.5263187157380725,599.9999772608437,1.5512864038863478e-6,583.8005878457699,116.76011375652098,30368.715163720506,5.109375870443739,2.886294255558324e-6,238.20514461276395,583.800587145773,1.918563693828029e-6,9.54776283208314e-6,220.9523759604653,270.0
16,5.4910026568936585,52.04622077850387,42.84088165530398,159.02237149881933,5.263170206280365,110.35507846437699,2.4097792817122733e-6,318.74120361946837,494.7223936982774,457.1428519803418,50.00001022219955,5188.539628446205,99.99998247358619,324.9480788406983,200.0,618.5854286279347,409.0827017077959,33.106523539313095,399.99999548279897,1.0450856390054859e-6,390.91574471695,6.270513834032917e-7,105.79150320808064,0.0,95.41342289929159,269.37744996319634,53.585553982632796,215.9999633181185,50.00002720532523,50.00002433455003,1.0526921665282032,0.5263218301773775,569.9999639086236,1.628637125577091e-6,618.5854375405776,123.71708602554978,30525.501741785814,16.473007970680975,2.859150987796692e-6,327.6732423978988,618.585436966631,1.4996305158406784e-6,9.45818946642675e-6,220.9523784571652,270.0
17,13.824334363452293,53.89233233040823,0.00024308640628398865,90.698145270502,5.263168256308194,38.93831615826565,2.4071801855557722e-6,244.08095050806222,290.69221038952315,457.14285555453193,50.00001093995703,5215.304843906719,53.61728795432198,0.00012155811107572795,212.5,316.1651365464961,440.33444252421225,11.681494847479696,399.99999861021536,1.0611624141677103e-6,311.7449036301789,6.366974485006255e-7,106.89413688755025,0.0,54.418887162301196,129.63646142876763,58.01940749125491,202.1476984095269,50.00008120978789,50.000027293263265,1.0525776076500963,0.5263130915044548,538.9257314461645,1.7876359634224727e-6,316.16514416815306,63.23302760416143,30653.845875187773,41.473003090356876,2.811938305809062e-6,597.8996420006828,316.165143782872,9.478556827654288e-7,9.302383731131424e-6,220.95238018469038,285.0
18,21.40009202879675,48.03979065226239,16.040733699630046,107.6780737406681,5.263169653920488,42.94302988273687,2.409779115858689e-6,162.00148497069108,122.74144379588495,457.14285673936064,50.00000989747124,5197.899264745748,3.395074750873399e-5,90.77145289659995,237.5,393.0464880629921,442.4546739929435,12.88290896482106,399.99999964694047,1.073884584003765e-6,216.9418713166102,6.443307504022583e-7,94.20556587744629,0.0,64.60684424440085,150.62110362340496,59.50220951233233,128.00006759416425,50.00002535292467,50.00002192338598,1.0526586556448723,0.5263212284029455,360.0000670159391,1.8881081284806493e-6,393.0464908687377,78.60929790474826,30295.106211545473,64.20027608639026,2.7868305044269925e-6,778.4963055169767,393.0464905665828,6.947407540990958e-7,9.219530567928507e-6,220.95238075735762,285.0
19,20.642515746928634,53.6837059618265,11.07447708012991,108.80750073354506,5.2631688750555465,32.537674473542545,2.4097791097301684e-6,131.0311501709044,218.92561449433768,457.1428578209905,50.00001037417956,5196.089335591679,1.3002343256433743e-5,81.49687727788731,250.0,395.7285014153666,410.0544071541175,9.761302342062763,400.0000005933667,1.090958610297322e-6,111.26046768705092,6.545751661783931e-7,103.04054660921852,0.0,65.28450044012703,141.3451752070876,58.41387392468134,128.00002569506887,50.00004763522301,50.00002433452533,1.0526334584458092,0.526318716991127,360.0000251153379,2.0757836710012505e-6,395.72850307889905,79.1457005709565,29918.77988113189,61.9275472407859,2.747336703625148e-6,610.5549759044143,395.72850282518846,5.437177362119348e-7,9.089200560176642e-6,220.95238128014543,270.0
20,16.85615528322684,45.54600951016275,5.034208547262233,103.58618399696167,5.268179914057097,16.013185313029634,2.4097674377532153e-6,113.16192427367787,290.3419003275743,457.14285851709406,50.00001020048484,5189.639650494404,8.033670593266676e-6,51.588916047180206,237.5,358.7981107011138,383.8481871657364,4.80395559390889,400.00000120245727,1.1086027155458751e-6,1.2624676545655827e-10,6.651616293275252e-7,91.06076922853194,0.0,62.151710398176995,119.5993693099913,56.220130076811266,120.00001577747882,50.0000455761087,50.00002433571205,2.1267218012897975,11.571493641916735,360.00001517758227,2.3050030515955287e-6,358.7981115973909,71.75962242395234,29633.94377286713,50.56846584968052,2.7088852299620957e-6,430.61794564951083,358.7981112983987,5.979844083206979e-7,8.9623144033496e-6,220.95238161659543,270.0
